"TopAnnonces";"1";"27/06/2014";"41883806";"BLAYE";"33390";"T3";"515";"	Blaye. Appartement de 3 pièces avec balcon. Double place de stationnement. Disponible au 01/09/2014 loyer 515 euros honoraires agence : 465 euros -honoraires au titre de l'article 5 de la loi du 6/7/1989 correspondant à : - la visite du logement - l'étude du dossier de candidature(solvabilité), la présentation au propriétaire et la rédaction du bail. Contacter l' agence laforet blaye au 05.57.58.52.50. -  surface : 54,28 m2 environ -  loyer mensuel charges comprises 515  euros - honoraires ttc en sus : 465  euros - laforêt immobilier - agence 01 -  rcs : 790967137  (chaque agence est une entité indépendante) -  n° mandat 0119. LAFORET IMMOBILIER BLAYE Réf. annonce : 51707297:saut ligne::saut paragraphe:	    ";"Location appartement 3 pièces 54 m² BLAYE (33390) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/9ad/4/9ad49e4f-51a3-4027-8833-83225e451d09-1.jpg";"http://www.topannonces.fr/pro/annonce-location-appartement-v41883806.html";"";"0557585250"
"TopAnnonces";"1";"27/06/2014";"41866674";"MARSEILLE 5e";"13005";"T3";"880";"	5ème baille votre agence laforet vous propose à la location un appartement de 72m² de type 3 idéal pour colocation. Cet appartement est situé dans un immeuble récent. Il vous séduira par son emplacement privilégié à proximité de la place castellane, son balcon côté jardin et un garage en sous-sol. Laforet 42 bd baille 13006 marseille tel 04.82.79.69.52 -  surface : 72 m2 environ -  loyer mensuel charges comprises 880  euros - honoraires ttc en sus : 880  euros - laforêt immobilier - agence 01 -  rcs : marseille 498995679  (chaque agence est une entité indépendante) -  n° mandat 13-130. LAFORET  CASTELLANE Réf. annonce : 51284086:saut ligne::saut paragraphe:	    ";"Location appartement 3 pièces 72 m² MARSEILLE 5e (13005) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/b8b/8/b8b878a3-64ce-42ab-b731-a95124bbb6d2-1.jpg";"http://www.topannonces.fr/pro/annonce-location-appartement-v41866674.html";"";"0482796952"
"TopAnnonces";"1";"27/06/2014";"41661406";"LE HAVRE";"76600";"T5";"840";"	F3 hotel de ville 2eme etage avec ascenseur comprenant entrée, cuisine aménagée, séjour avec loggia, salon, 2 chambres, salle de bain et wc. Cave loyer : 680 euros + 160 euros de charges honoraires agence : 680 euros ttc possibilité de garage : 80 euros n° mandat 00. DELAMARE Tél. 02.35.44.53.33 Réf. annonce : 10010518:saut ligne::saut paragraphe:	    ";"Location appartement 5 pièces 83 m² LE HAVRE (76600) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/71f/e/71fe32b3-d924-44ef-89ba-a725c33afe5f-1.jpg";"http://www.topannonces.fr/pro/annonce-location-appartement-v41661406.html";"";"0235445333"
"TopAnnonces";"1";"27/06/2014";"39945110";"LE HAVRE";"76600";"studio";"410";"	F1 sacre coeur : avec balcon, bon état:point virgule: entrée, cuisine ouverte sur séjour, salle de douches, wc, dressing. Loyer : 360 euros + 50 euros charges honoraires d'agence : 200 euros n° mandat 00. DELAMARE Tél. 02.35.44.53.33 Réf. annonce : 9688611:saut ligne::saut paragraphe:	    ";"Location appartement studio 35 m² LE HAVRE (76600) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/53a/d/53ad927f-35d3-4b9d-b8bb-ef96874ab4e3-1.jpg";"http://www.topannonces.fr/pro/annonce-location-appartement-v39945110.html";"";"0235445333"
"TopAnnonces";"1";"27/06/2014";"41043964";"LE HAVRE";"76600";"studio";"330";"	F1 situé au rond point comprenant pièce principale, salle de douche, coin cuisine. Loyer : 315 euros + 15 euros de charges honoraires d'agence : 200 euros n° mandat 00. DELAMARE Tél. 02.35.44.53.33 Réf. annonce : 9858962:saut ligne::saut paragraphe:	    ";"Location appartement studio 20 m² LE HAVRE (76600) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/434/a/434acd79-be9b-44d2-88cd-d87a99f6070d-1.jpg";"http://www.topannonces.fr/pro/annonce-location-appartement-v41043964.html";"";"0235445333"
"TopAnnonces";"1";"27/06/2014";"28957799";"MARSEILLE 6e";"13006";"studio";"350";"	Lodi 6ème laforet immobilier castellane vous propose à la location une studette meublée, à proximité immédiate de la place castellane, vous pourrez bénéficier de la ligne de bus 21, du métro et de tous les commerces . Disponibilité immédiate loyer 350 euros cc -  surface : 12,50 m2 environ -  loyer mensuel charges comprises 350  euros - honoraires ttc en sus : 350  euros - laforêt immobilier - agence 01 -  rcs : marseille 498995679  (chaque agence est une entité indépendante) -  n° mandat 13-27. LAFORET  CASTELLANE Tél. 04.82.79.69.52 Réf. annonce : 51158931:saut ligne::saut paragraphe:	    ";"Location appartement studio 12 m² MARSEILLE 6e (13006) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/7ae/5/7ae532c8-3992-4780-a811-bcbfe40838e2-1.jpg";"http://www.topannonces.fr/pro/annonce-location-appartement-v28957799.html";"";"0482796952"
"TopAnnonces";"1";"27/06/2014";"41883801";"LYON 3e";"69003";"T2";"610";"	Grange blanche -- au calme, proche de toutes commodités et commerces, appartement en rez-de-jardin comprenant une pièce principale avec coin cuisine américaine, une chambre avec rangements, une véranda, une salle d'eau, wc indépendant - libre 01/09/2014 - loyer 600 euros - charges 10 euros - honoraires 540 euros -  surface : 48 m2 environ -  loyer mensuel charges comprises 610  euros - honoraires ttc en sus : 540  euros - laforêt immobilier - agence 02 -  rcs : lyon 478 898 372  (chaque agence est une entité indépendante) -  n° mandat gestion. LAFORET Tél. 04.78.68.78.78 Réf. annonce : 51270604:saut ligne::saut paragraphe:	    ";"Location appartement 2 pièces 48 m² LYON 3e (69003) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/fb2/c/fb2cde5a-eb0d-4283-a5f6-504f7d1b5eb9-1.jpg";"http://www.topannonces.fr/pro/annonce-location-appartement-v41883801.html";"";"0478687878"
"TopAnnonces";"1";"27/06/2014";"40517403";"LE HAVRE";"76600";"studio";"320";"	F1 sainte anne : pièce principale, cuisine, salle de douches avec wc. Loyer : 300 euros + 20 euros charges honoraires d'agence : 200 euros n° mandat 00. DELAMARE Tél. 02.35.44.53.33 Réf. annonce : 9705040:saut ligne::saut paragraphe:	    ";"Location appartement studio 18 m² LE HAVRE (76600) - Petite annonce gratuite";"PROFESSIONNEL";"";"";"http://www.topannonces.fr/pro/annonce-location-appartement-v40517403.html";"";"0235445333"
"TopAnnonces";"1";"27/06/2014";"41187114";"PLOUFRAGAN";"22440";"maison";"650";"	Ploufragan limite st brieuc, maison 5 p. En parfait état (séjour-salon, cuisine, 3 chambres, salle d'eau, w.c.) - garage et jardin n° mandat 1816. ARTHURIMMO.COM Tél. 02.96.64.20.19 Réf. annonce : 9853185:saut ligne::saut paragraphe:	    ";"Location maison 5 pièces 85 m² PLOUFRAGAN (22440) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/2e5/9/2e5902c1-7394-4734-9729-b3eaece814e3-1.jpg";"http://www.topannonces.fr/pro/annonce-location-maison-v41187114.html";"";"0296642019"
"TopAnnonces";"1";"27/06/2014";"41244728";"LE HAVRE";"76600";"studio";"440";"	F1 bassin du commerce : vue sur bassin, parfait état. Comprenant entrée, coin cuisine, séjour, salle de douche loyer : 380 euros + 60 euros charges honoraires d'agence : 200 euros n° mandat 00. DELAMARE Tél. 02.35.44.53.33 Réf. annonce : 7584452:saut ligne::saut paragraphe:	    ";"Location appartement studio 28 m² LE HAVRE (76600) - Petite annonce gratuite";"PROFESSIONNEL";"";"";"http://www.topannonces.fr/pro/annonce-location-appartement-v41244728.html";"";"0235445333"
