"6Clics";"1";"22/01/2014";"48969936";"SAINT PIERRE D'OLÉRON";"17310";"3";"400";"chalet en bois climatisé au coeur d'un parc résidentiel avec piscine chauffée et près des commerces. La maison se compose de 2 chambres, 1 pièce de vie avec cuisine équipée, une salle de douche avec WC, une terrasse sous pergola, le tout sur un terrain d'environ 200 m² privatif avec 2 places de parking.";"LOCATION SAISONNIERE SAINT PIERRE D'OLERON";"PROFESSIONNEL";"";"";"http://perso.mixad.com/pa/annonce/annonce_detail.asp?NUM=48969936&provenance=consultation&TCKID=AFF6644";"";"";""
"6Clics";"1";"23/01/2014";"48967147";"SAINT GEORGES D'OLÉRON";"17190";"4";"500";"A LOUER AU PORT DU DOUHET A 200 M DE LA MER, MAISON DANS PARC RESIDENTIEL FERME COMPRENANT 3 CHAMBRES DONT UNE EN MEZZANINE, ET UN PATIO";"A LOUER LE DOUHET MAISON 3 CHAMBRES";"PROFESSIONNEL";"";"";"http://perso.mixad.com/pa/annonce/annonce_detail.asp?NUM=48967147&provenance=consultation&TCKID=AFF6644";"";"";""
"6Clics";"1";"23/01/2014";"48973621";"SAINT PIERRE D'OLÉRON";"17310";"4";"750";"Jolie maison récente de 80m² à louer sur St pierre dans une résidence calme";"SAINT PIERRE D'OLERON - CENTRE";"PROFESSIONNEL";"";"";"http://perso.mixad.com/pa/annonce/annonce_detail.asp?NUM=48973621&provenance=consultation&TCKID=AFF6644";"";"";""
"6Clics";"1";"22/01/2014";"48977271";"LE GRAND VILLAGE PLAGE";"17370";"3";"500";"A louer Grandvillage plage, maison avec 2 chambres, proche mer et à environ 1 km du centre ville";"A LOUER MAISON GRANDVILLAGE PLAGE PROCHE MER";"PROFESSIONNEL";"";"";"http://perso.mixad.com/pa/annonce/annonce_detail.asp?NUM=48977271&provenance=consultation&TCKID=AFF6644";"";"";""
"6Clics";"1";"21/01/2014";"48968717";"SAINT PIERRE D'OLÉRON";"17310";"4";"750";"Jolie maison récente de 80m² à louer sur St pierre dans une résidence calme";"SAINT PIERRE D'OLERON - CENTRE";"PROFESSIONNEL";"";"";"http://perso.mixad.com/pa/annonce/annonce_detail.asp?NUM=48968717&provenance=consultation&TCKID=AFF6644";"";"";""
"6Clics";"1";"22/01/2014";"48962247";"SAINT PIERRE D'OLÉRON";"17310";"4";"500";"Jolie maison récente de 80m² à louer sur St pierre dans une résidence calme";"SAINT PIERRE D'OLERON - CENTRE";"PROFESSIONNEL";"";"";"http://perso.mixad.com/pa/annonce/annonce_detail.asp?NUM=48962247&provenance=consultation&TCKID=AFF6644";"";"";""
"6Clics";"1";"21/01/2014";"48970804";"SAINT GEORGES D'OLÉRON";"17190";"4";"920";"Proche d'une belle plage (La gautrelle), maison pour 8 personnes avec piscine a louer";"A LOUER MAISON AVEC PISCINE 3 CHAMBRES";"PROFESSIONNEL";"";"";"http://perso.mixad.com/pa/annonce/annonce_detail.asp?NUM=48970804&provenance=consultation&TCKID=AFF6644";"";"";""
"6Clics";"1";"21/01/2014";"48970051";"LE GRAND VILLAGE PLAGE";"17370";"3";"500";"A louer Grandvillage plage, maison avec 2 chambres, proche mer et à environ 1 km du centre ville";"A LOUER MAISON GRANDVILLAGE PLAGE PROCHE MER";"PROFESSIONNEL";"";"";"http://perso.mixad.com/pa/annonce/annonce_detail.asp?NUM=48970051&provenance=consultation&TCKID=AFF6644";"";"";""
"6Clics";"1";"21/01/2014";"48966232";"SAINT PIERRE D'OLÉRON";"17310";"3";"400";"chalet en bois climatisé au coeur d'un parc résidentiel avec piscine chauffée et près des commerces. La maison se compose de 2 chambres, 1 pièce de vie avec cuisine équipée, une salle de douche avec WC, une terrasse sous pergola, le tout sur un terrain d'environ 200 m² privatif avec 2 places de parking.";"LOCATION SAISONNIERE SAINT PIERRE D'OLERON";"PROFESSIONNEL";"";"";"http://perso.mixad.com/pa/annonce/annonce_detail.asp?NUM=48966232&provenance=consultation&TCKID=AFF6644";"";"";""
"6Clics";"1";"20/01/2014";"48967819";"LE GRAND VILLAGE PLAGE";"17370";"3";"500";"A louer Grandvillage plage, maison avec 2 chambres, proche mer et à environ 1 km du centre ville";"A LOUER MAISON GRANDVILLAGE PLAGE PROCHE MER";"PROFESSIONNEL";"";"";"http://perso.mixad.com/pa/annonce/annonce_detail.asp?NUM=48967819&provenance=consultation&TCKID=AFF6644";"";"";""
