"Normandie";"1";"26/06/2014";"144297";"LE HAVRE";"76600";"Divers";"123696";"A LOUER superbe emplacement , proche volcan et halles centrales :saut paragraphe:taxe foncière 120 Euro /mois , loyer 859 Euro HT:saut paragraphe:charge 91.47Euro :saut paragraphe:60M2  de surface commercial , superbe vitrines , droit au bail à vendre:saut paragraphe:nous consulter:saut ligne::saut paragraphe:				";"Immobilier -- Immo location -- Divers";"PROFESSIONNEL";"";"http://www.annonces-normandie.fr/datas/pa_photo/annonces/760110@32-fp@1.jpg";"http://www.annonces-normandie.fr/cms/273/?ida=144297&rid=20&srid=20L&c1=&c2=&dpt=&pmx=&pmi=&mc=&p=1";"";""
"Normandie";"1";"26/06/2014";"144277";"LE HAVRE";"76600";"Divers";"";"A LOUER - Bureaux 640m2 Le Havre Centre Ville:saut ligne::saut paragraphe:				";"Immobilier -- Immo location -- Divers";"PROFESSIONNEL";"";"http://www.annonces-normandie.fr/datas/pa_photo/annonces/760110@166ja@1.jpg";"http://www.annonces-normandie.fr/cms/273/?ida=144277&rid=20&srid=20L&c1=&c2=&dpt=&pmx=&pmi=&mc=&p=1";"";""
"Normandie";"1";"26/06/2014";"144280";"GONFREVILLE-L'ORCHER";"76700";"Divers";"";"A LOUER Le Havre Périphérie Locaux commerciaux en plein coeur de la zone commerciale, dans un ensemble de 12 500m2:saut paragraphe:Droit d'entrée à prévoir, Renseignements à l'agence:saut ligne::saut paragraphe:				";"Immobilier -- Immo location -- Divers";"PROFESSIONNEL";"";"http://www.annonces-normandie.fr/datas/pa_photo/annonces/760110@152jfb@1.jpg";"http://www.annonces-normandie.fr/cms/273/?ida=144280&rid=20&srid=20L&c1=&c2=&dpt=&pmx=&pmi=&mc=&p=1";"";""
"Normandie";"1";"26/06/2014";"144298";"LE HAVRE";"76600";"Divers";"14400";"A LOUER  local commercial  avec droit d'entrée :saut paragraphe:95M2 + 60M2 de réserve :saut paragraphe:13 m de vitrine :saut paragraphe:loyer 1200 Euro H.T. mensuel :saut paragraphe:foncier  200 Euro /mois:saut paragraphe:bail neuf tous commerces :saut paragraphe:possibilité acquisition des murs:saut ligne::saut paragraphe:				";"Immobilier -- Immo location -- Divers";"PROFESSIONNEL";"";"http://www.annonces-normandie.fr/datas/pa_photo/annonces/760110@16-fp@1.jpg";"http://www.annonces-normandie.fr/cms/273/?ida=144298&rid=20&srid=20L&c1=&c2=&dpt=&pmx=&pmi=&mc=&p=1";"";""
"Normandie";"1";"26/06/2014";"150322";"LE HAVRE";"76600";"Appartement";"470";"Appartement F2 sous combles:saut paragraphe:Cuisine simple ouverte sur séjour:saut paragraphe:Chambre spacieuse:saut paragraphe:Salle de douche, wc indépendants:saut paragraphe:Proximité tramway, commerces:saut ligne::saut paragraphe:				";"Immobilier -- Immo location -- Appartement";"PROFESSIONNEL";"";"http://www.annonces-normandie.fr/datas/pa_photo/annonces/760110@75@1.jpg";"http://www.annonces-normandie.fr/cms/273/?ida=150322&rid=20&srid=20L&c1=&c2=&dpt=&pmx=&pmi=&mc=&p=1";"";""
"Normandie";"1";"26/06/2014";"146422";"LE HAVRE";"76600";"Appartement";"449";"Appartement totalement rénové:saut paragraphe:Belle pièce de vie lumineuse:saut paragraphe:Salle de bain avec lavabo et wc en:saut paragraphe:bon état:saut paragraphe:Une chambre spacieuse :saut paragraphe:Appartement très lumineux et clair:saut paragraphe:Libre de suite:saut ligne::saut paragraphe:				";"Immobilier -- Immo location -- Appartement";"PROFESSIONNEL";"";"http://www.annonces-normandie.fr/datas/pa_photo/annonces/760110@1533@1.jpg";"http://www.annonces-normandie.fr/cms/273/?ida=146422&rid=20&srid=20L&c1=&c2=&dpt=&pmx=&pmi=&mc=&p=1";"";""
"Normandie";"1";"26/06/2014";"146421";"LE HAVRE";"76600";"Appartement";"665";"Bel appartement refait à neuf:saut paragraphe:Cuisine neuve aménagée ouverte sur séjour:saut paragraphe:Très belle pièce de vie avec balcon :saut paragraphe:Deux chambres spacieuses:saut paragraphe:Salle de douche, wc indépendants:saut ligne::saut paragraphe:				";"Immobilier -- Immo location -- Appartement";"PROFESSIONNEL";"";"http://www.annonces-normandie.fr/datas/pa_photo/annonces/760110@1540@1.jpg";"http://www.annonces-normandie.fr/cms/273/?ida=146421&rid=20&srid=20L&c1=&c2=&dpt=&pmx=&pmi=&mc=&p=1";"";""
"Normandie";"1";"26/06/2014";"144300";"GONFREVILLE-L'ORCHER";"76700";"Divers";"";"A LOUER Gonfreville l'Orcher Surface commerciale de 365m2 Excellent visuel et nombreuses places de parking, bon potentiel, prévoir droit d'entrée:saut ligne::saut paragraphe:				";"Immobilier -- Immo location -- Divers";"PROFESSIONNEL";"";"http://www.annonces-normandie.fr/datas/pa_photo/annonces/760110@5jfb@1.jpg";"http://www.annonces-normandie.fr/cms/273/?ida=144300&rid=20&srid=20L&c1=&c2=&dpt=&pmx=&pmi=&mc=&p=1";"";""
"Normandie";"1";"26/06/2014";"144182";"GRUCHET-LE VALASSE";"76210";"Divers";"15600";"A LOUER 1 cellule de 100M2 comprenant 1 accueil 5 bureaux 1 local social WC et point d'eau avec parking privé.:saut ligne::saut paragraphe:				";"Immobilier -- Immo location -- Divers";"PROFESSIONNEL";"";"http://www.annonces-normandie.fr/datas/pa_photo/annonces/760110@553@1.jpg";"http://www.annonces-normandie.fr/cms/273/?ida=144182&rid=20&srid=20L&c1=&c2=&dpt=&pmx=&pmi=&mc=&p=1";"";""
"Normandie";"1";"26/06/2014";"144185";"LE HAVRE";"76600";"Divers";"6960";"A Vendre- Droit au bail -  39000 Euro net vendeur  - rues piétonnes  :saut paragraphe:90 M2  avec un étage . belle vitrine , chauffage collectif .:saut paragraphe:Loyer mensuel de 580 Euro , charges mensuel 250 Euro , taxe foncière mensuel 210 Euro .:saut paragraphe:Bail tout commerce sauf odorant.:saut paragraphe:Nous consulter .:saut ligne::saut paragraphe:				";"Immobilier -- Immo location -- Divers";"PROFESSIONNEL";"";"http://www.annonces-normandie.fr/datas/pa_photo/annonces/760110@545-fp@1.jpg";"http://www.annonces-normandie.fr/cms/273/?ida=144185&rid=20&srid=20L&c1=&c2=&dpt=&pmx=&pmi=&mc=&p=1";"";""
